ZIP,RegionID,SizeRank,RegionType,StateName,State,City,Metro,CountyName,home_value
19006,65688,5108,zip,PA,PA,Huntingdon Valley,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,471474.71
19007,65689,5470,zip,PA,PA,Bristol,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,251373.15
19008,65690,6033,zip,PA,PA,Broomall,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,438442.52
19009,65691,24850,zip,PA,PA,Huntingdon Valley,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,517210.05
19010,65692,5468,zip,PA,PA,Bryn Mawr,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,643833.55
19012,65693,11453,zip,PA,PA,Cheltenham,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,307181.78
19013,65694,2897,zip,PA,PA,Chester,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,75399.59
19014,65695,5980,zip,PA,PA,Aston,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,285374.96
19015,65696,7036,zip,PA,PA,Brookhaven,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,195254.29
19018,65699,5379,zip,PA,PA,Clifton Heights,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,193843.16
19020,65701,631,zip,PA,PA,Bensalem,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,320187.57
19021,65702,10020,zip,PA,PA,Croydon,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,252170.34
19022,65703,14485,zip,PA,PA,Crum Lynne,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,149495.9
19023,65704,5371,zip,PA,PA,Collingdale,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,119800.55
19025,65705,12728,zip,PA,PA,Dresher,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,528937.67
19026,65706,3375,zip,PA,PA,Drexel Hill,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,234531.08
19027,65707,6564,zip,PA,PA,Elkins Park,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,309748.73
19029,65709,14616,zip,PA,PA,Essington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,187885.36
19030,65710,8520,zip,PA,PA,Fairless Hills,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,318794.65
19031,65711,14648,zip,PA,PA,Flourtown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,444037.54
19032,65712,12275,zip,PA,PA,Folcroft,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,161735.48
19033,65713,11136,zip,PA,PA,Folsom,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,255536.48
19034,65714,11491,zip,PA,PA,Fort Washington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,569173.7
19035,65715,14340,zip,PA,PA,Gladwyne,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,1060594.02
19036,65716,8551,zip,PA,PA,Glenolden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,181240.23
19038,65718,3429,zip,PA,PA,Glenside,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,359011.36
19040,65720,5599,zip,PA,PA,Hatboro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,352796.47
19041,65721,11303,zip,PA,PA,Haverford,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,837234.46
19043,65722,16558,zip,PA,PA,Holmes,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,254597.16
19044,65723,7210,zip,PA,PA,Horsham,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,343318.9
19046,65724,5806,zip,PA,PA,Jenkintown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,388946.37
19047,65725,2769,zip,PA,PA,Langhorne,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,414253.7
19050,65728,3353,zip,PA,PA,Lansdowne,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,185758.41
19053,65730,4213,zip,PA,PA,Feasterville Trevose,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,360757.96
19054,65731,7384,zip,PA,PA,Levittown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,301542.52
19055,65732,8371,zip,PA,PA,Levittown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,278102.01
19056,65733,7639,zip,PA,PA,Levittown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,337345.47
19057,65734,6592,zip,PA,PA,Levittown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,275220.76
19060,417454,8859,zip,PA,PA,Garnet Valley,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,495068.9
19061,65737,6344,zip,PA,PA,Marcus Hook,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,202081.84
19063,65738,2257,zip,PA,PA,Media,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,481928.29
19064,65739,4641,zip,PA,PA,Springfield,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,367171.8
19066,65741,12544,zip,PA,PA,Merion Station,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,753227.54
19067,65742,724,zip,PA,PA,Morrisville,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,435976.62
19070,65743,11729,zip,PA,PA,Morton,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,279081.01
19072,65744,9838,zip,PA,PA,Narberth,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,599138.25
19073,65745,6001,zip,PA,PA,Newtown Square,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,550799.13
19074,65746,12435,zip,PA,PA,Norwood,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,218185.53
19075,65747,10957,zip,PA,PA,Oreland,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,390183.85
19076,65748,11996,zip,PA,PA,Prospect Park,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,225359.69
19078,65749,9400,zip,PA,PA,Ridley Park,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,241188.95
19079,65750,10165,zip,PA,PA,Sharon Hill,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,142048.87
19081,65752,9274,zip,PA,PA,Swarthmore,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,349350.36
19082,65753,1787,zip,PA,PA,Upper Darby,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,138770.64
