ZIP,NatWalkInd,total_weight,block_group_rows
02891,8.916973,21427.975,23
02892,7.35134,5006.058,11
02893,13.050118,28970.111,36
02894,5.776707,543.731,4
02895,12.673727,41579.977,45
02896,8.461939,9858.368,9
02898,5.776707,1991.386,4
02901,18.856886,853.35,3
02903,17.608207,11554.247,34
02904,14.96346,25140.513,58
02905,15.535994,26024.953,37
02906,15.901321,28268.151,34
02907,15.290322,21974.414,45
02908,15.252646,35284.358,55
02909,15.05308,33843.695,64
02910,15.045136,21532.425,44
02911,14.424587,14884.058,30
02914,15.074929,22357.841,26
02915,12.885733,16438.971,24
02916,14.162003,8602.713,18
02917,9.217127,13561.229,24
02919,11.292335,28988.46,46
02920,14.912089,37635.612,45
02921,7.507558,12108.694,22
02940,15.166644,2581.415,5
03031,6.383789,11317.254,14
03032,5.74138,5379.076,3
03033,6.249777,20.04,2
03034,5.906883,3972.278,7
03036,5.243303,5015.121,7
03037,4.83739,4457.286,8
03038,6.631866,34283.506,34
03042,7.418531,6929.737,15
03043,4.672322,1510.484,3
03044,6.013862,4667.731,7
03045,5.157663,9684.104,12
03046,4.907582,2807.02,5
03047,5.335558,1774.582,3
03048,5.381011,3495.44,3
03049,5.902676,8.707,3
03053,6.196431,24941.659,19
03054,4.213669,12375.365,18
03055,6.30819,8586.788,12
03057,5.166429,2576.201,7
03060,8.652981,21055.734,17
03061,12.454545,851.266,2
03062,7.091948,27929.293,17
03063,7.248486,8973,4
03064,8.295189,14301,15
03070,6.069579,5608.738,6
03071,4.914348,56.06,2
03073,5.937804,973.927,3
03076,6.616944,4329.344,5
03077,6.485792,10397.335,10
03079,7.047529,20232.912,16
03082,4.5,1618.213,1
03086,7.282429,3768.5,3
03087,6.914214,14450.57,15
03101,14.076007,2596.031,8
03102,7.596973,28262.263,33
03103,9.106988,34711.586,43
03104,8.067303,24785.75,47
03105,15.591789,1299.142,2
03106,7.068419,14247.7,14
03108,7.9483,2009.43,4
03109,6.856499,10085.871,27
03110,7.677967,22299.271,26
03216,5.173927,2589.191,6
03218,5.16609,967.255,3
03220,6.011371,89.174,3
03221,6.140543,75.765,3
03222,4.000651,1834.061,6
03224,6.482808,2325.548,10
03225,5.16609,3656.745,3
03226,7.360268,1259.2,5
03229,6.071764,5682.767,10
03230,5.475951,1432.153,3
03233,5.475951,2.427,3
03234,6.757199,4634.077,7
03235,6.027352,8657.246,14
03237,4.939008,2396.201,4
03240,3.959209,1357.172,3
03241,5.932889,997.419,3
03242,7.049187,4941.134,14
03243,5.413489,1215.185,6
03244,4.699106,2020.974,11
03245,7.358695,2.104,3
03246,8.092295,16365.636,19
03249,9.155263,1186.703,9
03253,7.362644,6329.641,14
03254,6.660914,44.187,5
03256,7.358587,2035.457,6
03257,5.172506,68.407,4
03258,7.275515,2615.536,5
03261,7.160406,4308.633,12
03262,5.561233,950.36,3
03263,6.649044,4128.499,10
03266,5.932682,749.315,5
03268,5.173644,1276.941,3
03269,5.882427,2941.387,5
03273,6.140543,9.184,3
03275,6.83343,4409.644,6
03276,6.838403,8366.612,9
03278,6.101269,2833.433,6
03279,5.561233,1147.838,3
03280,4.954023,1249.292,3
03281,5.646254,22.106,5
03282,5.862696,934.198,2
03284,5.172506,429.984,4
03287,5.474547,1180.331,6
03290,5.316705,4998.768,11
03291,7.183275,35.084,5
03301,8.022932,30834.187,28
03302,8.613059,1796.277,3
03303,6.257684,16293.169,19
03304,5.156729,7782.639,7
03307,6.279945,5516.279,12
03431,7.573776,18354.208,23
03440,4.645274,2670.629,2
03441,4.842176,338.628,4
03442,4.672322,1526.36,3
03443,6.077746,588.913,4
03444,6.994724,2.077,3
03445,6.200065,13.727,9
